Question Number	Concept	Concept Mask	Questionnaire 	n_sentences	n_tokens	ttr_form_chunks_100	ttr_lemma_chunks_100	tokens_per_sent	char_per_tok	upos_dist_INTJ	upos_dist_ADV	upos_dist_NOUN	upos_dist_DET	upos_dist_SYM	upos_dist_PRON	upos_dist_PUNCT	upos_dist_PROPN	upos_dist_AUX	upos_dist_PART	upos_dist_X	upos_dist_NUM	upos_dist_VERB	upos_dist_SCONJ	upos_dist_ADJ	upos_dist_ADP	upos_dist_CCONJ	xpos_dist_AFX	xpos_dist_NN	xpos_dist_POS	xpos_dist_TO	xpos_dist_RBS	xpos_dist_PDT	xpos_dist_UH	xpos_dist_WP$	xpos_dist_CC	xpos_dist_NNPS	xpos_dist_.	xpos_dist_VBZ	xpos_dist_,	xpos_dist_DT	xpos_dist_''	xpos_dist_VBP	xpos_dist_FW	xpos_dist_JJS	xpos_dist_NFP	xpos_dist_MD	xpos_dist_$	xpos_dist_-RRB-	xpos_dist_PRP	xpos_dist_:	xpos_dist_``	xpos_dist_RBR	xpos_dist_LS	xpos_dist_VBG	xpos_dist_RP	xpos_dist_WP	xpos_dist_IN	xpos_dist_EX	xpos_dist_-LRB-	xpos_dist_VB	xpos_dist_SYM	xpos_dist_JJ	xpos_dist_CD	xpos_dist_WDT	xpos_dist_VBN	xpos_dist_JJR	xpos_dist_PRP$	xpos_dist_WRB	xpos_dist_VBD	xpos_dist_HYPH	xpos_dist_RB	xpos_dist_NNS	xpos_dist_NNP	lexical_density	verbs_mood_dist_Ind	verbs_mood_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_form_dist_Part	verbs_form_dist_Ger	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_num_pers_dist_Sing+3	verbs_num_pers_dist_+	aux_mood_dist_Ind	aux_tense_dist_Pres	aux_tense_dist_Past	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Ger	aux_form_dist_Part	aux_num_pers_dist_+	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_cc:preconj	dep_dist_nmod	dep_dist_nsubj	dep_dist_obj	dep_dist_aux:pass	dep_dist_obl:tmod	dep_dist_amod	dep_dist_aux	dep_dist_obl	dep_dist_advcl	dep_dist_mark	dep_dist_ccomp	dep_dist_nmod:poss	dep_dist_det	dep_dist_acl	dep_dist_goeswith	dep_dist_obl:npmod	dep_dist_cop	dep_dist_xcomp	dep_dist_fixed	dep_dist_conj	dep_dist_flat	dep_dist_parataxis	dep_dist_case	dep_dist_acl:relcl	dep_dist_punct	dep_dist_list	dep_dist_expl	dep_dist_csubj	dep_dist_appos	dep_dist_compound:prt	dep_dist_nsubj:pass	dep_dist_det:predet	dep_dist_root	dep_dist_cc	dep_dist_nummod	dep_dist_discourse	dep_dist_advmod	dep_dist_compound	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prep_dist_2	prep_dist_3	prep_dist_1	prep_dist_4	prep_dist_5	subordinate_dist_2	subordinate_dist_4	subordinate_dist_3	subordinate_dist_1	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_2	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_3	verb_edges_dist_6	avg_verb_edges
0	Acceleration	qdd3	Specialised Encyclopaedia	3	67	0	0	22.33333333	5.01754386	0	0.02985074627	0.3134328358	0.1194029851	0	0.02985074627	0.1492537313	0	0.01492537313	0	0	0.01492537313	0.0447761194	0	0.05970149254	0.1940298507	0.02985074627	0	0.2835820896	0	0	0	0	0	0	0.02985074627	0	0.0447761194	0.05970149254	0.0447761194	0.1194029851	0	0	0	0	0	0	0	0.02985074627	0	0	0	0	0	0	0	0	0.1940298507	0	0.02985074627	0	0	0.05970149254	0.01492537313	0.01492537313	0	0	0.01492537313	0	0	0	0.02985074627	0.02985074627	0	0.5263157895	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0.3333333333	22.33333333	2.444444444	18	6	5.666666667	0	0.1343283582	0.05970149254	0.01492537313	0	0	0.05970149254	0	0.0447761194	0	0	0.01492537313	0.01492537313	0.1194029851	0	0	0	0.01492537313	0	0	0.02985074627	0	0	0.1940298507	0.01492537313	0.1492537313	0	0	0	0.01492537313	0	0	0	0.0447761194	0.02985074627	0	0	0.02985074627	0.01492537313	1	0	0	1	3	4.333333333	0	0.3333333333	0	0	0.6666666667	1	0	0	0	2	0.3333333333	0.6666666667	0	1	0.3333333333	0.3333333333	0	0	0	0.3333333333	0	3
0	Acceleration	qddw	Simple Wikipedia	5	80	0	0	16	4.855072464	0	0.0375	0.3125	0.075	0	0.0125	0.1375	0	0.075	0	0	0.025	0.075	0.0375	0.0375	0.125	0.05	0	0.25	0	0	0	0	0	0	0.05	0	0.0625	0.1	0.05	0.075	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0.1625	0	0.0125	0	0	0.0375	0.025	0	0.05	0	0.0125	0.0125	0	0	0.025	0.0625	0	0.5362318841	1	0	0.6666666667	0.3333333333	0.6666666667	0	0.3333333333	0	1	0	1	1	0	1	0	0	0	0	1	1.8	1	8.888888889	2.671875	22	4.4	3.8	0.0125	0.075	0.05	0.025	0.0375	0	0.0375	0	0.0625	0.025	0.025	0	0.0125	0.075	0.0125	0	0	0.0375	0	0	0.025	0	0	0.1375	0	0.1375	0	0	0	0.0125	0	0.0375	0	0.0625	0.0375	0.0125	0	0.0375	0.0125	1	0	0	1	6	1	0	0	1	0	0	0	0	0	1	1	0.625	0.375	0.6666666667	0.3333333333	0.2	0.4	0	0	0.2	0.2	0	2.333333333
0	Acceleration	qdd2	English Wikipedia	4	107	0	0	26.75	4.666666667	0	0	0.2803738318	0.1495327103	0	0.02803738318	0.1028037383	0.02803738318	0.04672897196	0.03738317757	0	0.009345794393	0.07476635514	0.02803738318	0.01869158879	0.1775700935	0.01869158879	0	0.2242990654	0.03738317757	0	0	0	0	0	0.01869158879	0	0.03738317757	0.03738317757	0.03738317757	0.1495327103	0	0.01869158879	0	0	0	0	0	0.009345794393	0.01869158879	0.009345794393	0	0	0	0.02803738318	0	0	0.2056074766	0	0.009345794393	0	0	0.01869158879	0.009345794393	0.009345794393	0.03738317757	0	0	0	0	0	0	0.05607476636	0.02803738318	0.4479166667	1	0	0.8	0.2	0.5	0.375	0.125	0	0	1	1	1	0	1	0	0	0	0.2	0.8	2.75	1	9.727272727	2.652173913	18	4.5	5.25	0	0.1028037383	0.03738317757	0.009345794393	0.01869158879	0	0.02803738318	0	0.05607476636	0.009345794393	0.02803738318	0	0.03738317757	0.1495327103	0.02803738318	0	0	0.02803738318	0	0.009345794393	0.01869158879	0	0.009345794393	0.214953271	0	0.1028037383	0	0	0	0.009345794393	0	0.01869158879	0	0.03738317757	0.01869158879	0.009345794393	0	0	0.01869158879	1	0	0	1	7	1.571428571	0	0	0.8571428571	0	0.1428571429	0	0	0	1	1	0.4444444444	0.5555555556	0.2	0.8	0.25	0.125	0	0.25	0.125	0.25	0	1.875
5	Addition	qeew	Simple Wikipedia	10	116	0	0	11.6	4.224489796	0	0.008620689655	0.2413793103	0.1551724138	0.008620689655	0.008620689655	0.1551724138	0.008620689655	0.05172413793	0.02586206897	0	0.04310344828	0.09482758621	0.008620689655	0.06034482759	0.1206896552	0.008620689655	0	0.1206896552	0	0.02586206897	0	0	0	0	0.008620689655	0	0.08620689655	0.06034482759	0.02586206897	0.1551724138	0.01724137931	0.01724137931	0	0	0	0.008620689655	0	0	0	0.008620689655	0.01724137931	0	0	0.01724137931	0	0	0.1293103448	0.008620689655	0	0.03448275862	0.008620689655	0.05172413793	0.04310344828	0	0.008620689655	0.008620689655	0	0	0	0	0.008620689655	0.1206896552	0.008620689655	0.4897959184	1	0	0.1428571429	0.8571428571	0.1818181818	0.09090909091	0.4545454545	0.2727272727	0.8	0.2	1	1	0	0.8333333333	0.1666666667	0	0	0.4	0.6	1.4	1	8.285714286	2.090909091	14	1.4	3.5	0	0.08620689655	0.0775862069	0.06034482759	0.008620689655	0	0.03448275862	0.01724137931	0.02586206897	0.008620689655	0.03448275862	0.008620689655	0	0.1551724138	0.01724137931	0	0	0.02586206897	0	0	0.008620689655	0	0	0.1206896552	0	0.1551724138	0	0.008620689655	0	0	0	0.008620689655	0	0.08620689655	0.008620689655	0.02586206897	0	0.01724137931	0	0.9	0.1	0	1	8	1.25	0.25	0	0.75	0	0	0	0	0	1	1	0.7142857143	0.2857142857	0.5	0.5	0.5454545455	0	0	0	0	0.4545454545	0	2.454545455
5	Addition	qee2	English Wikipedia	5	92	0	0	18.4	5.151898734	0	0.01086956522	0.2934782609	0.07608695652	0	0.01086956522	0.1413043478	0.01086956522	0.08695652174	0	0	0.03260869565	0.05434782609	0.01086956522	0.09782608696	0.1413043478	0.03260869565	0	0.1630434783	0	0	0	0	0	0	0.03260869565	0	0.05434782609	0.04347826087	0.08695652174	0.08695652174	0	0.01086956522	0	0	0	0.02173913043	0	0	0	0	0	0	0	0.01086956522	0	0	0.152173913	0	0	0.02173913043	0	0.09782608696	0.03260869565	0	0.03260869565	0	0	0	0	0	0.01086956522	0.1304347826	0.01086956522	0.5443037975	1	0	0.75	0.25	0.6	0.2	0.2	0	1	0	1	1	0	0.75	0.25	0	0	0.5	0.5	1.4	0.8	13.14285714	2.378378378	12	2.4	3.4	0	0.1195652174	0.04347826087	0.01086956522	0.02173913043	0	0.0652173913	0.02173913043	0.02173913043	0.01086956522	0.01086956522	0	0	0.07608695652	0.01086956522	0	0	0.04347826087	0	0.02173913043	0.07608695652	0	0.01086956522	0.1413043478	0	0.1413043478	0	0	0	0.01086956522	0	0.02173913043	0	0.05434782609	0.03260869565	0.02173913043	0	0.01086956522	0	1	0	0	1	10	1.1	0.1	0	0.9	0	0	0	0	0	1	1	0.5714285714	0.4285714286	0.3333333333	0.6666666667	0.4	0	0.2	0.2	0	0.2	0	2.4
5	Addition	qee3	Specialised Encyclopaedia	7	119	1	1	17	4.147058824	0	0.03361344538	0.243697479	0.1428571429	0.04201680672	0.01680672269	0.1428571429	0.01680672269	0.05882352941	0	0.008403361345	0.03361344538	0.05042016807	0	0.06722689076	0.09243697479	0.05042016807	0	0.2016806723	0	0	0	0	0	0	0.05042016807	0	0.05882352941	0.05042016807	0.03361344538	0.1428571429	0	0.01680672269	0	0	0	0	0	0.01680672269	0	0.01680672269	0	0	0.008403361345	0	0	0	0.09243697479	0	0.01680672269	0	0.04201680672	0.06722689076	0.03361344538	0.008403361345	0.04201680672	0	0.008403361345	0	0	0	0.03361344538	0.04201680672	0.01680672269	0.4803921569	1	0	0.8333333333	0.1666666667	0.8333333333	0	0.1666666667	0	0	1	1	1	0	1	0	0	0	0.1428571429	0.8571428571	1.285714286	0.7142857143	13.22222222	2.673684211	14	2	4	0	0.05042016807	0.03361344538	0.01680672269	0.03361344538	0	0.03361344538	0	0.03361344538	0	0	0	0.008403361345	0.1344537815	0.008403361345	0	0	0.02521008403	0.01680672269	0	0.05042016807	0	0	0.09243697479	0.008403361345	0.1512605042	0	0	0	0.03361344538	0	0.03361344538	0	0.05882352941	0.05042016807	0.03361344538	0	0.05042016807	0.04201680672	1	0	0	1	6	1	0	0	1	0	0	0	0	0	1	1	0.7142857143	0.2857142857	0	1	0	0.3333333333	0.1666666667	0	0	0.5	0	3.666666667
3	Angle	qht3	Specialised Encyclopaedia	4	85	0	0	21.25	4.421052632	0	0	0.2352941176	0.1411764706	0	0.04705882353	0.1058823529	0.01176470588	0.07058823529	0	0	0.02352941176	0.1058823529	0.03529411765	0.08235294118	0.09411764706	0.04705882353	0	0.1647058824	0	0	0	0	0	0	0.04705882353	0	0.04705882353	0.01176470588	0.03529411765	0.1411764706	0	0.02352941176	0	0	0	0.02352941176	0	0.01176470588	0.03529411765	0	0	0	0	0.02352941176	0	0	0.1294117647	0	0.01176470588	0.02352941176	0	0.08235294118	0.02352941176	0	0.07058823529	0	0.01176470588	0	0	0	0	0.07058823529	0.01176470588	0.4868421053	0	0	1	0	0.6666666667	0.2222222222	0	0.1111111111	0	0	1	1	0	0.8333333333	0.1666666667	0	0	0.8	0.2	2.25	0.75	9.444444444	2.472222222	13	3.25	4.5	0	0.05882352941	0.01176470588	0.04705882353	0.04705882353	0	0.09411764706	0.02352941176	0.03529411765	0.02352941176	0.02352941176	0	0.01176470588	0.1411764706	0.01176470588	0	0	0	0.01176470588	0.01176470588	0.04705882353	0	0	0.09411764706	0	0.1058823529	0	0	0	0.01176470588	0	0.04705882353	0	0.04705882353	0.04705882353	0.02352941176	0	0	0.02352941176	1	0	0	1	5	1	0	0	1	0	0	0.5	0	0	0.5	1.5	0.5	0.5	0	1	0.1111111111	0.3333333333	0.1111111111	0.2222222222	0.1111111111	0.1111111111	0	2.555555556
3	Angle	qht2	English Wikipedia	5	105	0	0	21	4.336842105	0	0.009523809524	0.2571428571	0.1523809524	0	0.009523809524	0.09523809524	0.009523809524	0.07619047619	0.01904761905	0	0.0380952381	0.1142857143	0	0.04761904762	0.1523809524	0.01904761905	0	0.1714285714	0	0.009523809524	0	0	0	0	0.01904761905	0	0.04761904762	0.0380952381	0.04761904762	0.1619047619	0	0.0380952381	0	0	0	0	0	0	0	0	0	0	0	0.009523809524	0	0	0.1523809524	0	0	0.01904761905	0	0.04761904762	0.0380952381	0	0.07619047619	0	0	0	0.009523809524	0	0.01904761905	0.08571428571	0.009523809524	0.4842105263	1	0	0.9	0.1	0.6666666667	0.08333333333	0.1666666667	0.08333333333	0	1	1	1	0	0.875	0.125	0	0	0.4285714286	0.5714285714	2.6	1	8.076923077	2.711111111	19	3.8	3.8	0	0.06666666667	0.01904761905	0.02857142857	0.02857142857	0	0.04761904762	0.02857142857	0.08571428571	0	0.009523809524	0	0	0.1523809524	0.04761904762	0	0	0.01904761905	0.01904761905	0	0.02857142857	0	0.009523809524	0.1523809524	0	0.09523809524	0	0	0	0	0	0.01904761905	0	0.04761904762	0.01904761905	0.0380952381	0	0.01904761905	0.01904761905	1	0	0	1	5	1.4	0.4	0	0.6	0	0	0	0	0	1	1	0.4545454545	0.5454545455	0.1666666667	0.8333333333	0.1666666667	0.1666666667	0	0	0.5	0.1666666667	0	2
3	Angle	qhtw	Simple Wikipedia	8	106	0	0	13.25	3.829545455	0	0.02830188679	0.2169811321	0.1320754717	0.02830188679	0.01886792453	0.1698113208	0.01886792453	0.09433962264	0.009433962264	0	0.07547169811	0.09433962264	0	0.01886792453	0.08490566038	0.009433962264	0	0.141509434	0	0.009433962264	0	0	0	0	0.009433962264	0	0.07547169811	0.03773584906	0.03773584906	0.1320754717	0.01886792453	0.04716981132	0	0	0	0.01886792453	0.009433962264	0.01886792453	0.009433962264	0	0	0	0	0	0	0	0.08490566038	0	0.01886792453	0.02830188679	0.01886792453	0.01886792453	0.07547169811	0.009433962264	0.05660377358	0	0	0.009433962264	0	0	0.01886792453	0.07547169811	0.01886792453	0.4545454545	1	0	0.6666666667	0.3333333333	0.6	0	0.3	0.1	0	1	1	1	0	0.8	0.2	0	0	0.5	0.5	1.5	1	8.833333333	2.2	14	1.75	3.125	0	0.02830188679	0.04716981132	0.03773584906	0.05660377358	0	0.009433962264	0.01886792453	0.05660377358	0.01886792453	0.01886792453	0	0	0.1320754717	0	0	0	0.01886792453	0	0	0.01886792453	0	0	0.08490566038	0.009433962264	0.1981132075	0	0	0	0.01886792453	0	0.04716981132	0	0.07547169811	0.009433962264	0.05660377358	0.009433962264	0.02830188679	0	1	0	0	1	3	1	0	0	1	0	0	0	0	0	1	1	0.7272727273	0.2727272727	0.6666666667	0.3333333333	0.2	0.2	0.1	0	0	0.5	0	3.2
5	Arithmetic	q483	Specialised Encyclopaedia	4	92	0	0	23	5.204819277	0	0.03260869565	0.347826087	0.1086956522	0	0.01086956522	0.09782608696	0.03260869565	0.02173913043	0.01086956522	0	0	0.0652173913	0	0.02173913043	0.2065217391	0.04347826087	0	0.1630434783	0	0.01086956522	0	0	0	0	0.04347826087	0	0.04347826087	0.03260869565	0.05434782609	0.1086956522	0	0.01086956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2065217391	0	0	0.01086956522	0	0.02173913043	0	0.01086956522	0.03260869565	0	0	0	0	0	0.03260869565	0.1847826087	0.03260869565	0.5542168675	1	0	0.6	0.4	0.5	0	0.3333333333	0.1666666667	0.5	0.5	1	1	0	1	0	0	0	0	1	1.5	0.75	15.33333333	2.316455696	23	5.75	5.5	0	0.1739130435	0.02173913043	0.03260869565	0.02173913043	0	0.02173913043	0	0.02173913043	0	0.01086956522	0	0	0.1086956522	0.01086956522	0	0	0	0.01086956522	0.02173913043	0.0652173913	0	0	0.1956521739	0.01086956522	0.09782608696	0	0	0	0.02173913043	0	0.02173913043	0	0.04347826087	0.05434782609	0	0	0.01086956522	0.02173913043	1	0	0	1	11	1.454545455	0.2727272727	0.09090909091	0.6363636364	0	0	0	0	0	1	1	0.5	0.5	0	1	0.5	0.3333333333	0	0	0.1666666667	0	0	2.5
